Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
2,7.32454538345337,-80.8703536987305,7.3243613243103,99.1311492919922
2.16000008583069,6.58180952072144,-79.5383834838867,6.58166122436523,100.462394714355
2.3328001499176,18.2936592102051,-91.7795181274414,18.2934436798096,88.2256240844727
2.51942420005798,0.236313953995705,-16.4945869445801,0.236105516552925,163.505462646484
2.72097826004028,16.4524936676025,-84.5764007568359,16.4524021148682,95.4274597167969
2.93865656852722,2.86326050758362,-84.4782257080078,2.86323356628418,95.5225677490234
3.17374920845032,4.85380744934082,-93.3139724731445,4.8536262512207,86.6873397827148
3.42764925956726,2.09101343154907,-88.2935180664063,2.09098243713379,91.7067184448242
3.70186138153076,3.53019022941589,-93.7353210449219,3.53005838394165,86.2653045654297
3.9980103969574,2.67442560195923,-88.7976226806641,2.67425060272217,91.2034912109375
4.31785154342651,2.07940626144409,-87.3975982666016,2.07938885688782,92.6025924682617
4.66328001022339,0.882704079151154,-89.3068084716797,0.88262277841568,90.6934204101563
5.03634262084961,0.18295057117939,-86.7322463989258,0.182904973626137,93.2682647705078
5.43925046920776,-0.460738629102707,-89.9341201782227,-0.460825085639954,90.0660171508789
5.87439060211182,-0.701556801795959,-91.5986099243164,-0.701636552810669,88.4019546508789
6.34434223175049,-1.20826530456543,-90.8143844604492,-1.2083466053009,89.1859588623047
6.85189008712769,-2.44341111183167,-88.8093032836914,-2.44342613220215,91.1909027099609
7.4000415802002,-3.03325438499451,-90.1687927246094,-3.03330945968628,89.8314514160156
7.99204540252686,-3.26244497299194,-96.199104309082,-3.26245045661926,83.801155090332
8.63140964508057,-4.35003805160522,-91.1973114013672,-4.35005378723145,88.8027267456055
9.32192325592041,-5.54024410247803,-93.0142135620117,-5.54025411605835,86.985954284668
10.0676774978638,-5.70821142196655,-92.2065124511719,-5.70823621749878,87.793701171875
10.8730916976929,-5.90536689758301,-91.9118499755859,-5.90538120269775,88.0882568359375
11.7429399490356,-6.6609845161438,-95.2990493774414,-6.66103172302246,84.7011871337891
12.6823759078979,-7.28936767578125,-94.5244293212891,-7.28937149047852,85.4756393432617
13.6969661712646,-7.74043321609497,-97.1794967651367,-7.74046468734741,82.8207321166992
14.7927236557007,-9.49329090118408,-92.6369476318359,-9.49336242675781,87.3632431030273
15.9761419296265,-9.38543033599854,-96.4008026123047,-9.38541698455811,83.5991516113281
17.2542343139648,-9.75362110137939,-99.5948333740234,-9.75365734100342,80.4053344726563
18.6345729827881,-10.6034936904907,-91.3876724243164,-10.6035604476929,88.6123886108398
